[2023/12/18 08:42:43] {'model': 'anchor-based', 'device': 'cuda', 'seed': 12345, 'splits': ['../splits/tvsum.yml', '../splits/summe.yml'], 'max_epoch': 300, 'model_dir': '../models/ab_basic', 'log_file': 'log.txt', 'lr': 5e-05, 'weight_decay': 1e-05, 'lambda_reg': 1.0, 'nms_thresh': 0.5, 'ckpt_path': None, 'sample_rate': 15, 'source': None, 'save_path': None, 'base_model': 'attention', 'num_head': 8, 'num_feature': 1024, 'num_hidden': 128, 'neg_sample_ratio': 2.0, 'incomplete_sample_ratio': 1.0, 'pos_iou_thresh': 0.6, 'neg_iou_thresh': 0.0, 'incomplete_iou_thresh': 0.3, 'anchor_scales': [4, 8, 16, 32], 'lambda_ctr': 1.0, 'cls_loss': 'focal', 'reg_loss': 'soft-iou'}
[2023/12/18 08:42:43] Start training on tvsum: split 0
[2023/12/18 08:44:28] Epoch: 89/300 Loss: 0.6180/0.4085/1.0264 F-score cur/max: 0.5683/0.6293
[2023/12/18 08:44:29] Epoch: 90/300 Loss: 0.6159/0.3976/1.0136 F-score cur/max: 0.5599/0.6293
[2023/12/18 08:44:30] Epoch: 91/300 Loss: 0.6221/0.3852/1.0073 F-score cur/max: 0.5539/0.6293
[2023/12/18 08:44:31] Epoch: 92/300 Loss: 0.6068/0.3715/0.9783 F-score cur/max: 0.5911/0.6293
[2023/12/18 08:44:32] Epoch: 93/300 Loss: 0.6163/0.3793/0.9956 F-score cur/max: 0.5549/0.6293
[2023/12/18 08:44:33] Epoch: 94/300 Loss: 0.6122/0.3721/0.9843 F-score cur/max: 0.5863/0.6293
[2023/12/18 08:44:34] Epoch: 95/300 Loss: 0.6100/0.3826/0.9926 F-score cur/max: 0.5678/0.6293
[2023/12/18 08:44:35] Epoch: 96/300 Loss: 0.6045/0.3793/0.9838 F-score cur/max: 0.5877/0.6293
[2023/12/18 08:44:36] Epoch: 97/300 Loss: 0.5985/0.3743/0.9728 F-score cur/max: 0.5403/0.6293
[2023/12/18 08:44:37] Epoch: 98/300 Loss: 0.5897/0.3750/0.9646 F-score cur/max: 0.5838/0.6293
[2023/12/18 08:44:38] Epoch: 99/300 Loss: 0.5976/0.3595/0.9571 F-score cur/max: 0.5753/0.6293
[2023/12/18 08:44:39] Epoch: 100/300 Loss: 0.5910/0.3736/0.9646 F-score cur/max: 0.5332/0.6293
[2023/12/18 08:44:41] Epoch: 101/300 Loss: 0.5822/0.3738/0.9561 F-score cur/max: 0.5525/0.6293
[2023/12/18 08:44:42] Epoch: 102/300 Loss: 0.5879/0.3620/0.9498 F-score cur/max: 0.5512/0.6293
[2023/12/18 08:44:43] Epoch: 103/300 Loss: 0.5897/0.3685/0.9582 F-score cur/max: 0.5996/0.6293
[2023/12/18 08:44:44] Epoch: 104/300 Loss: 0.6047/0.3566/0.9613 F-score cur/max: 0.5882/0.6293
[2023/12/18 08:44:45] Epoch: 105/300 Loss: 0.5925/0.3603/0.9528 F-score cur/max: 0.5803/0.6293
[2023/12/18 08:44:46] Epoch: 106/300 Loss: 0.5881/0.3584/0.9465 F-score cur/max: 0.5770/0.6293
[2023/12/18 08:44:47] Epoch: 107/300 Loss: 0.5743/0.3360/0.9103 F-score cur/max: 0.5730/0.6293
[2023/12/18 08:44:48] Epoch: 108/300 Loss: 0.5694/0.3424/0.9119 F-score cur/max: 0.5536/0.6293
[2023/12/18 08:44:49] Epoch: 109/300 Loss: 0.5733/0.3491/0.9224 F-score cur/max: 0.5262/0.6293
[2023/12/18 08:44:50] Epoch: 110/300 Loss: 0.5804/0.3267/0.9072 F-score cur/max: 0.5071/0.6293
[2023/12/18 08:44:52] Epoch: 111/300 Loss: 0.5692/0.3276/0.8968 F-score cur/max: 0.5227/0.6293
[2023/12/18 08:44:53] Epoch: 112/300 Loss: 0.5866/0.3417/0.9283 F-score cur/max: 0.5594/0.6293
[2023/12/18 08:44:54] Epoch: 113/300 Loss: 0.5731/0.3293/0.9024 F-score cur/max: 0.5683/0.6293
[2023/12/18 08:44:55] Epoch: 114/300 Loss: 0.5544/0.3205/0.8748 F-score cur/max: 0.5665/0.6293
[2023/12/18 08:44:56] Epoch: 115/300 Loss: 0.5604/0.3196/0.8799 F-score cur/max: 0.5403/0.6293
[2023/12/18 08:44:57] Epoch: 116/300 Loss: 0.5547/0.3152/0.8699 F-score cur/max: 0.5465/0.6293
[2023/12/18 08:44:58] Epoch: 117/300 Loss: 0.5560/0.3060/0.8620 F-score cur/max: 0.6054/0.6293
[2023/12/18 08:44:59] Epoch: 118/300 Loss: 0.5581/0.3029/0.8610 F-score cur/max: 0.5586/0.6293
[2023/12/18 08:45:00] Epoch: 119/300 Loss: 0.5562/0.3211/0.8773 F-score cur/max: 0.5361/0.6293
[2023/12/18 08:45:01] Epoch: 120/300 Loss: 0.5644/0.3100/0.8744 F-score cur/max: 0.5588/0.6293
